"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";1800
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1872
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";2082
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2623
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";3286
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3492
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3339
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3169
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";2050
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";2900
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";2642
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";3047
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3552
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";3137
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2352
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1418
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";716
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"De 90 a 94 años";237
"1 de enero de 2013";"03133 - Torrevieja";"Mujeres";"Total";45541
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"95 y más años";94
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3544
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4073
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3786
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4346
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";5124
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";6511
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";7537
"1 de enero de 2014";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";7340
