Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
PLAYA DE LOS LOCOS;2023-06-13;1.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-06-06;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-05-18;7.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-09-09;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-09-02;2.0;10.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-08-26;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-08-19;9.0;20.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-08-12;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-08-05;1.0;10.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-07-29;2.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-07-22;4.0;20.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-07-15;2.0;120.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-07-08;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-07-01;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-06-20;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-06-10;9.0;9.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2025-05-27;9.0;9.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-09-03;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-08-27;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-08-20;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-08-13;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-08-06;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-07-30;4.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-07-23;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-07-16;1.0;52.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-07-09;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-07-02;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-06-26;1.0;1.0;Zona Apta para el baño
PLAYA DE TORRELAMATA;2024-06-18;1.0;1.0;Zona Apta para el baño
