Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M03;1.002
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M02;1.023
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M01;1.017
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2026M02;262
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2026M01;228
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M12;185
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M11;273
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M10;230
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M09;290
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M08;302
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M07;257
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M06;286
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M05;242
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M04;252
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M03;331
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M02;241
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025M01;210
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M12;156
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M11;225
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M10;216
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M09;277
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M08;238
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M07;233
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M06;275
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M05;306
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M04;253
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M03;300
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M02;235
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024M01;186
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M12;147
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M11;185
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M10;237
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M09;272
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M08;166
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M07;204
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M06;245
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M05;227
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M04;221
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M03;231
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M02;248
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023M01;220
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M12;143
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M11;225
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M10;184
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M09;254
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M08;196
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M07;211
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M06;217
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M05;212
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M04;228
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M03;225
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M02;162
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022M01;159
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M12;148
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M11;186
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M10;189
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M09;166
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M08;202
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M07;197
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M06;148
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M05;192
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M04;167
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M03;165
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M02;147
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021M01;115
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M12;149
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M11;173
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M10;178
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M09;160
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M08;144
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M07;166
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M06;135
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M05;0
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M04;0
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M03;227
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M02;208
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020M01;186
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M12;188
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M11;237
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M10;221
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M09;205
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M08;222
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M07;238
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M06;260
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M05;228
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M04;221
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M03;218
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M02;237
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019M01;149
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M12;148
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M11;194
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M10;245
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M09;229
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M08;205
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M07;201
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M06;235
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M05;201
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M04;231
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M03;208
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M02;227
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018M01;184
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2026M02;5,42
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2026M01;6,82
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M12;7,05
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M11;4,35
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M10;8,55
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M09;4,66
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M08;6,23
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M07;6,62
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M06;5,04
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M05;5,52
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M04;5,26
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M03;4,15
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M02;5,23
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025M01;6,23
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M12;8,72
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M11;5,72
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M10;8,42
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M09;4,65
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M08;6,12
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M07;5,73
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M06;5,04
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M05;4,56
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M04;4,91
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M03;4,09
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M02;5,65
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024M01;8,33
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M12;10,77
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M11;8,07
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M10;6,03
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M09;4,83
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M08;9,39
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M07;7,25
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M06;5,10
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M05;5,49
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M04;5,43
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M03;5,79
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M02;4,69
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023M01;5,17
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M12;8,91
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M11;5,66
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M10;7,07
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M09;4,90
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M08;6,70
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M07;5,98
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M06;5,96
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M05;5,51
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M04;5,34
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M03;5,56
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M02;7,13
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022M01;6,10
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M12;7,54
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M11;6,41
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M10;5,42
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M09;5,92
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M08;6,13
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M07;6,08
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M06;8,49
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M05;5,49
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M04;5,07
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M03;5,46
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M02;7,25
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021M01;7,37
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M12;6,77
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M11;6,12
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M10;6,53
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M09;5,33
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M08;8,66
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M07;6,38
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M06;6,02
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M05;0,00
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M04;0,00
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M03;4,34
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M02;4,72
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020M01;5,94
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M12;6,74
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M11;4,92
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M10;5,36
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M09;5,37
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M08;5,36
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M07;5,32
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M06;4,28
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M05;4,84
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M04;4,63
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M03;4,89
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M02;3,94
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019M01;6,82
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M12;8,73
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M11;5,54
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M10;4,59
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M09;4,54
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M08;5,35
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M07;6,08
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M06;4,59
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M05;5,56
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M04;4,44
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M03;4,82
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M02;4,50
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018M01;5,54
Otros motivos;Gasto total;Dato base;2026M02;995,36
Otros motivos;Gasto total;Dato base;2026M01;1.362,14
Otros motivos;Gasto total;Dato base;2025M12;1.687,79
Otros motivos;Gasto total;Dato base;2025M11;1.023,43
Otros motivos;Gasto total;Dato base;2025M10;950,99
Otros motivos;Gasto total;Dato base;2025M09;1.013,71
Otros motivos;Gasto total;Dato base;2025M08;971,83
Otros motivos;Gasto total;Dato base;2025M07;936,18
Otros motivos;Gasto total;Dato base;2025M06;1.231,09
Otros motivos;Gasto total;Dato base;2025M05;1.156,89
Otros motivos;Gasto total;Dato base;2025M04;1.218,66
Otros motivos;Gasto total;Dato base;2025M03;971,40
Otros motivos;Gasto total;Dato base;2025M02;814,50
Otros motivos;Gasto total;Dato base;2025M01;1.029,84
Otros motivos;Gasto total;Dato base;2024M12;1.395,16
Otros motivos;Gasto total;Dato base;2024M11;801,03
Otros motivos;Gasto total;Dato base;2024M10;821,30
Otros motivos;Gasto total;Dato base;2024M09;761,26
Otros motivos;Gasto total;Dato base;2024M08;751,52
Otros motivos;Gasto total;Dato base;2024M07;952,34
Otros motivos;Gasto total;Dato base;2024M06;1.143,93
Otros motivos;Gasto total;Dato base;2024M05;1.119,04
Otros motivos;Gasto total;Dato base;2024M04;897,73
Otros motivos;Gasto total;Dato base;2024M03;961,52
Otros motivos;Gasto total;Dato base;2024M02;755,23
Otros motivos;Gasto total;Dato base;2024M01;921,68
Otros motivos;Gasto total;Dato base;2023M12;1.238,09
Otros motivos;Gasto total;Dato base;2023M11;642,52
Otros motivos;Gasto total;Dato base;2023M10;743,62
Otros motivos;Gasto total;Dato base;2023M09;654,80
Otros motivos;Gasto total;Dato base;2023M08;776,64
Otros motivos;Gasto total;Dato base;2023M07;754,65
Otros motivos;Gasto total;Dato base;2023M06;749,67
Otros motivos;Gasto total;Dato base;2023M05;810,12
Otros motivos;Gasto total;Dato base;2023M04;739,04
Otros motivos;Gasto total;Dato base;2023M03;622,19
Otros motivos;Gasto total;Dato base;2023M02;576,02
Otros motivos;Gasto total;Dato base;2023M01;617,17
Otros motivos;Gasto total;Dato base;2022M12;873,47
Otros motivos;Gasto total;Dato base;2022M11;465,55
Otros motivos;Gasto total;Dato base;2022M10;537,56
Otros motivos;Gasto total;Dato base;2022M09;536,85
Otros motivos;Gasto total;Dato base;2022M08;579,65
Otros motivos;Gasto total;Dato base;2022M07;689,83
Otros motivos;Gasto total;Dato base;2022M06;610,77
Otros motivos;Gasto total;Dato base;2022M05;608,56
Otros motivos;Gasto total;Dato base;2022M04;552,32
Otros motivos;Gasto total;Dato base;2022M03;369,45
Otros motivos;Gasto total;Dato base;2022M02;391,81
Otros motivos;Gasto total;Dato base;2022M01;412,32
Otros motivos;Gasto total;Dato base;2021M12;558,24
Otros motivos;Gasto total;Dato base;2021M11;314,35
Otros motivos;Gasto total;Dato base;2021M10;373,21
Otros motivos;Gasto total;Dato base;2021M09;326,27
Otros motivos;Gasto total;Dato base;2021M08;395,19
Otros motivos;Gasto total;Dato base;2021M07;433,83
Otros motivos;Gasto total;Dato base;2021M06;306,09
Otros motivos;Gasto total;Dato base;2021M05;199,86
Otros motivos;Gasto total;Dato base;2021M04;105,99
Otros motivos;Gasto total;Dato base;2021M03;101,80
Otros motivos;Gasto total;Dato base;2021M02;55,59
Otros motivos;Gasto total;Dato base;2021M01;82,91
Otros motivos;Gasto total;Dato base;2020M12;161,75
Otros motivos;Gasto total;Dato base;2020M11;69,46
Otros motivos;Gasto total;Dato base;2020M10;101,20
Otros motivos;Gasto total;Dato base;2020M09;116,74
Otros motivos;Gasto total;Dato base;2020M08;176,11
Otros motivos;Gasto total;Dato base;2020M07;199,54
Otros motivos;Gasto total;Dato base;2020M06;12,67
Otros motivos;Gasto total;Dato base;2020M05;0,00
Otros motivos;Gasto total;Dato base;2020M04;0,00
Otros motivos;Gasto total;Dato base;2020M03;184,63
Otros motivos;Gasto total;Dato base;2020M02;526,31
Otros motivos;Gasto total;Dato base;2020M01;448,09
Otros motivos;Gasto total;Dato base;2019M12;559,00
Otros motivos;Gasto total;Dato base;2019M11;393,41
Otros motivos;Gasto total;Dato base;2019M10;391,90
Otros motivos;Gasto total;Dato base;2019M09;395,62
Otros motivos;Gasto total;Dato base;2019M08;460,95
Otros motivos;Gasto total;Dato base;2019M07;523,60
Otros motivos;Gasto total;Dato base;2019M06;538,84
Otros motivos;Gasto total;Dato base;2019M05;419,15
Otros motivos;Gasto total;Dato base;2019M04;471,12
Otros motivos;Gasto total;Dato base;2019M03;453,35
Otros motivos;Gasto total;Dato base;2019M02;478,41
Otros motivos;Gasto total;Dato base;2019M01;479,00
Otros motivos;Gasto total;Dato base;2018M12;646,24
Otros motivos;Gasto total;Dato base;2018M11;304,25
Otros motivos;Gasto total;Dato base;2018M10;413,61
Otros motivos;Gasto total;Dato base;2018M09;445,39
Otros motivos;Gasto total;Dato base;2018M08;593,14
Otros motivos;Gasto total;Dato base;2018M07;710,95
Otros motivos;Gasto total;Dato base;2018M06;749,06
Otros motivos;Gasto total;Dato base;2018M05;495,91
Otros motivos;Gasto total;Dato base;2018M04;475,30
Otros motivos;Gasto total;Dato base;2018M03;488,84
Otros motivos;Gasto total;Dato base;2018M02;408,19
Otros motivos;Gasto total;Dato base;2018M01;486,31
Otros motivos;Gasto medio por persona;Dato base;2026M02;1.630
Otros motivos;Gasto medio por persona;Dato base;2026M01;2.071
Otros motivos;Gasto medio por persona;Dato base;2025M12;2.327
Otros motivos;Gasto medio por persona;Dato base;2025M11;1.627
Otros motivos;Gasto medio por persona;Dato base;2025M10;1.367
Otros motivos;Gasto medio por persona;Dato base;2025M09;1.536
Otros motivos;Gasto medio por persona;Dato base;2025M08;1.328
Otros motivos;Gasto medio por persona;Dato base;2025M07;1.430
Otros motivos;Gasto medio por persona;Dato base;2025M06;2.082
Otros motivos;Gasto medio por persona;Dato base;2025M05;1.615
Otros motivos;Gasto medio por persona;Dato base;2025M04;1.423
Otros motivos;Gasto medio por persona;Dato base;2025M03;1.348
Otros motivos;Gasto medio por persona;Dato base;2025M02;1.399
Otros motivos;Gasto medio por persona;Dato base;2025M01;1.473
Otros motivos;Gasto medio por persona;Dato base;2024M12;1.939
Otros motivos;Gasto medio por persona;Dato base;2024M11;1.371
Otros motivos;Gasto medio por persona;Dato base;2024M10;1.283
Otros motivos;Gasto medio por persona;Dato base;2024M09;1.359
Otros motivos;Gasto medio por persona;Dato base;2024M08;1.212
Otros motivos;Gasto medio por persona;Dato base;2024M07;1.539
Otros motivos;Gasto medio por persona;Dato base;2024M06;1.789
Otros motivos;Gasto medio por persona;Dato base;2024M05;1.684
Otros motivos;Gasto medio por persona;Dato base;2024M04;1.217
Otros motivos;Gasto medio por persona;Dato base;2024M03;1.504
Otros motivos;Gasto medio por persona;Dato base;2024M02;1.481
Otros motivos;Gasto medio por persona;Dato base;2024M01;1.468
Otros motivos;Gasto medio por persona;Dato base;2023M12;1.641
Otros motivos;Gasto medio por persona;Dato base;2023M11;1.240
Otros motivos;Gasto medio por persona;Dato base;2023M10;1.277
Otros motivos;Gasto medio por persona;Dato base;2023M09;1.466
Otros motivos;Gasto medio por persona;Dato base;2023M08;1.215
Otros motivos;Gasto medio por persona;Dato base;2023M07;1.370
Otros motivos;Gasto medio por persona;Dato base;2023M06;1.420
Otros motivos;Gasto medio por persona;Dato base;2023M05;1.435
Otros motivos;Gasto medio por persona;Dato base;2023M04;1.190
Otros motivos;Gasto medio por persona;Dato base;2023M03;1.278
Otros motivos;Gasto medio por persona;Dato base;2023M02;1.371
Otros motivos;Gasto medio por persona;Dato base;2023M01;1.356
Otros motivos;Gasto medio por persona;Dato base;2022M12;1.664
Otros motivos;Gasto medio por persona;Dato base;2022M11;1.309
Otros motivos;Gasto medio por persona;Dato base;2022M10;1.083
Otros motivos;Gasto medio por persona;Dato base;2022M09;1.303
Otros motivos;Gasto medio por persona;Dato base;2022M08;1.255
Otros motivos;Gasto medio por persona;Dato base;2022M07;1.411
Otros motivos;Gasto medio por persona;Dato base;2022M06;1.528
Otros motivos;Gasto medio por persona;Dato base;2022M05;1.182
Otros motivos;Gasto medio por persona;Dato base;2022M04;1.141
Otros motivos;Gasto medio por persona;Dato base;2022M03;1.172
Otros motivos;Gasto medio por persona;Dato base;2022M02;1.226
Otros motivos;Gasto medio por persona;Dato base;2022M01;1.199
Otros motivos;Gasto medio por persona;Dato base;2021M12;1.464
Otros motivos;Gasto medio por persona;Dato base;2021M11;1.069
Otros motivos;Gasto medio por persona;Dato base;2021M10;1.101
Otros motivos;Gasto medio por persona;Dato base;2021M09;1.141
Otros motivos;Gasto medio por persona;Dato base;2021M08;1.206
Otros motivos;Gasto medio por persona;Dato base;2021M07;1.253
Otros motivos;Gasto medio por persona;Dato base;2021M06;1.223
Otros motivos;Gasto medio por persona;Dato base;2021M05;1.132
Otros motivos;Gasto medio por persona;Dato base;2021M04;1.009
Otros motivos;Gasto medio por persona;Dato base;2021M03;1.138
Otros motivos;Gasto medio por persona;Dato base;2021M02;985
Otros motivos;Gasto medio por persona;Dato base;2021M01;807
Otros motivos;Gasto medio por persona;Dato base;2020M12;1.008
Otros motivos;Gasto medio por persona;Dato base;2020M11;866
Otros motivos;Gasto medio por persona;Dato base;2020M10;678
Otros motivos;Gasto medio por persona;Dato base;2020M09;723
Otros motivos;Gasto medio por persona;Dato base;2020M08;780
Otros motivos;Gasto medio por persona;Dato base;2020M07;814
Otros motivos;Gasto medio por persona;Dato base;2020M06;529
Otros motivos;Gasto medio por persona;Dato base;2020M05;0
Otros motivos;Gasto medio por persona;Dato base;2020M04;0
Otros motivos;Gasto medio por persona;Dato base;2020M03;909
Otros motivos;Gasto medio por persona;Dato base;2020M02;1.256
Otros motivos;Gasto medio por persona;Dato base;2020M01;1.164
Otros motivos;Gasto medio por persona;Dato base;2019M12;1.445
Otros motivos;Gasto medio por persona;Dato base;2019M11;1.127
Otros motivos;Gasto medio por persona;Dato base;2019M10;1.026
Otros motivos;Gasto medio por persona;Dato base;2019M09;1.031
Otros motivos;Gasto medio por persona;Dato base;2019M08;960
Otros motivos;Gasto medio por persona;Dato base;2019M07;1.110
Otros motivos;Gasto medio por persona;Dato base;2019M06;1.261
Otros motivos;Gasto medio por persona;Dato base;2019M05;919
Otros motivos;Gasto medio por persona;Dato base;2019M04;955
Otros motivos;Gasto medio por persona;Dato base;2019M03;950
Otros motivos;Gasto medio por persona;Dato base;2019M02;1.186
Otros motivos;Gasto medio por persona;Dato base;2019M01;1.160
Otros motivos;Gasto medio por persona;Dato base;2018M12;1.398
Otros motivos;Gasto medio por persona;Dato base;2018M11;926
Otros motivos;Gasto medio por persona;Dato base;2018M10;993
Otros motivos;Gasto medio por persona;Dato base;2018M09;1.017
Otros motivos;Gasto medio por persona;Dato base;2018M08;927
Otros motivos;Gasto medio por persona;Dato base;2018M07;1.160
Otros motivos;Gasto medio por persona;Dato base;2018M06;1.353
Otros motivos;Gasto medio por persona;Dato base;2018M05;966
Otros motivos;Gasto medio por persona;Dato base;2018M04;983
Otros motivos;Gasto medio por persona;Dato base;2018M03;1.052
Otros motivos;Gasto medio por persona;Dato base;2018M02;1.258
Otros motivos;Gasto medio por persona;Dato base;2018M01;1.299
Otros motivos;Gasto medio diario por persona;Dato base;2026M02;121
Otros motivos;Gasto medio diario por persona;Dato base;2026M01;116
Otros motivos;Gasto medio diario por persona;Dato base;2025M12;113
Otros motivos;Gasto medio diario por persona;Dato base;2025M11;130
Otros motivos;Gasto medio diario por persona;Dato base;2025M10;154
Otros motivos;Gasto medio diario por persona;Dato base;2025M09;142
Otros motivos;Gasto medio diario por persona;Dato base;2025M08;132
Otros motivos;Gasto medio diario por persona;Dato base;2025M07;145
Otros motivos;Gasto medio diario por persona;Dato base;2025M06;149
Otros motivos;Gasto medio diario por persona;Dato base;2025M05;151
Otros motivos;Gasto medio diario por persona;Dato base;2025M04;128
Otros motivos;Gasto medio diario por persona;Dato base;2025M03;133
Otros motivos;Gasto medio diario por persona;Dato base;2025M02;128
Otros motivos;Gasto medio diario por persona;Dato base;2025M01;108
Otros motivos;Gasto medio diario por persona;Dato base;2024M12;104
Otros motivos;Gasto medio diario por persona;Dato base;2024M11;124
Otros motivos;Gasto medio diario por persona;Dato base;2024M10;132
Otros motivos;Gasto medio diario por persona;Dato base;2024M09;129
Otros motivos;Gasto medio diario por persona;Dato base;2024M08;117
Otros motivos;Gasto medio diario por persona;Dato base;2024M07;124
Otros motivos;Gasto medio diario por persona;Dato base;2024M06;127
Otros motivos;Gasto medio diario por persona;Dato base;2024M05;144
Otros motivos;Gasto medio diario por persona;Dato base;2024M04;116
Otros motivos;Gasto medio diario por persona;Dato base;2024M03;123
Otros motivos;Gasto medio diario por persona;Dato base;2024M02;118
Otros motivos;Gasto medio diario por persona;Dato base;2024M01;104
Otros motivos;Gasto medio diario por persona;Dato base;2023M12;100
Otros motivos;Gasto medio diario por persona;Dato base;2023M11;120
Otros motivos;Gasto medio diario por persona;Dato base;2023M10;126
Otros motivos;Gasto medio diario por persona;Dato base;2023M09;135
