Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2021;21.979
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2020;22.973
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2019;21.899
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2018;21.250
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2017;22.003
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2016;23.327
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2015;25.505
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2014;27.325
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2013;34.104
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2012;33.868
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2011;33.646
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2010;34.318
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2009;35.957
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2008;36.849
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2007;32.606
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2006;32.564
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2005;28.422
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2004;23.227
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2003;23.913
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2022;7.305
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2021;7.198
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2020;7.345
