;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2022;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;751;24;105;137;43;211;231;77;31;55;545;43
Enero de 2022;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;395;24;75;134;21;80;61;111;6;39;219;20
Enero de 2022;1;Andalucía;11;Cádiz;11003;Algar;148;10;19;25;7;39;48;8;7;14;108;11
Enero de 2022;1;Andalucía;11;Cádiz;11004;Algeciras;15048;621;2359;2879;631;4121;4437;299;704;1298;10386;2361
Enero de 2022;1;Andalucía;11;Cádiz;11005;Algodonales;495;39;59;121;29;129;118;102;11;31;314;37
Enero de 2022;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;4650;194;625;899;211;1255;1466;407;161;699;3061;322
Enero de 2022;1;Andalucía;11;Cádiz;11007;Barbate;4133;204;739;737;190;1126;1137;178;298;287;3029;341
Enero de 2022;1;Andalucía;11;Cádiz;11008;Barrios, Los;2695;118;398;429;127;767;856;70;206;257;1865;297
Enero de 2022;1;Andalucía;11;Cádiz;11009;Benaocaz;75;<5;7;21;<5;18;25;0;6;<5;64;<5
Enero de 2022;1;Andalucía;11;Cádiz;11010;Bornos;754;45;147;182;48;193;139;124;20;85;471;54
Enero de 2022;1;Andalucía;11;Cádiz;11011;Bosque, El;214;12;37;53;8;46;58;8;28;10;153;15
Enero de 2022;1;Andalucía;11;Cádiz;11012;Cádiz;12541;366;2183;2875;338;2943;3836;92;774;885;9448;1342
Enero de 2022;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;327;12;36;66;15;94;104;17;16;13;262;19
Enero de 2022;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;2727;105;460;539;114;802;707;81;74;234;2145;193
Enero de 2022;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;11307;436;1735;2198;457;3030;3451;160;634;1492;7524;1497
Enero de 2022;1;Andalucía;11;Cádiz;11016;Chipiona;2769;121;514;528;114;768;724;220;76;259;2033;181
Enero de 2022;1;Andalucía;11;Cádiz;11017;Espera;357;20;71;112;23;90;41;55;20;88;174;20
Enero de 2022;1;Andalucía;11;Cádiz;11018;Gastor, El;177;6;28;65;12;40;26;22;<5;27;119;5
Enero de 2022;1;Andalucía;11;Cádiz;11019;Grazalema;224;<5;26;55;7;48;84;6;9;15;185;9
Enero de 2022;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;27996;1054;3911;5695;976;6678;9682;1096;1464;2670;19295;3471
Enero de 2022;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;753;32;84;150;41;209;237;90;32;70;504;57
Enero de 2022;1;Andalucía;11;Cádiz;11022;Lánea de la Concepcián, La;9485;407;1621;2050;477;2384;2546;94;657;1092;5813;1829
Enero de 2022;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;1618;56;210;317;52;466;517;160;77;191;1095;95
Enero de 2022;1;Andalucía;11;Cádiz;11024;Olvera;618;36;96;179;36;147;124;95;35;123;318;47
Enero de 2022;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;813;45;120;146;35;233;234;74;47;346;293;53
Enero de 2022;1;Andalucía;11;Cádiz;11026;Prado del Rey;791;30;115;208;21;165;252;44;125;65;500;57
Enero de 2022;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;10331;333;1583;2144;287;2571;3413;140;510;883;7519;1279
Enero de 2022;1;Andalucía;11;Cádiz;11028;Puerto Real;5214;193;904;1072;161;1331;1553;68;612;449;3484;601
Enero de 2022;1;Andalucía;11;Cádiz;11029;Puerto Serrano;544;55;123;131;54;112;69;164;18;74;248;40
Enero de 2022;1;Andalucía;11;Cádiz;11030;Rota;3112;122;501;576;113;826;974;55;405;195;2189;268
Enero de 2022;1;Andalucía;11;Cádiz;11031;San Fernando;11280;381;1737;2194;386;2871;3711;112;660;893;7976;1639
Enero de 2022;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;8839;368;1429;1800;346;2284;2612;888;428;959;5512;1052
Enero de 2022;1;Andalucía;11;Cádiz;11033;San Roque;3584;171;616;670;140;974;1013;63;246;567;2291;417
Enero de 2022;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;186;<5;24;63;9;48;39;31;<5;20;122;11
Enero de 2022;1;Andalucía;11;Cádiz;11035;Tarifa;2073;102;371;361;82;528;629;31;77;94;1744;127
Enero de 2022;1;Andalucía;11;Cádiz;11036;Torre Alhóquime;73;<5;11;23;5;22;8;12;0;<5;52;5
Enero de 2022;1;Andalucía;11;Cádiz;11037;Trebujena;689;42;157;149;27;201;113;90;23;58;461;57
Enero de 2022;1;Andalucía;11;Cádiz;11038;Ubrique;1773;49;215;408;41;364;696;25;740;65;840;103
Enero de 2022;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;1956;70;296;424;69;513;584;81;45;201;1511;118
Enero de 2022;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;46;<5;5;9;<5;12;15;<5;6;<5;36;<5
Enero de 2022;1;Andalucía;11;Cádiz;11041;Villamartán;1616;104;259;395;106;404;348;209;62;210;1002;133
Enero de 2022;1;Andalucía;11;Cádiz;11042;Zahara;125;8;28;34;<5;27;24;17;9;39;57;<5
Enero de 2022;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;1011;59;153;184;49;208;358;142;25;165;599;80
Enero de 2022;1;Andalucía;11;Cádiz;11902;San José del Valle;541;21;86;125;34;138;137;76;26;81;321;37
Enero de 2022;1;Andalucía;11;Cádiz;11903;San Martín del Tesorillo;263;9;48;70;<5;70;62;15;<5;30;199;15
Enero de 2022;1;Andalucía;14;Córdoba;14001;Adamuz;201;<5;29;63;13;62;30;74;6;18;93;10
Enero de 2022;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;753;40;139;180;49;216;129;91;50;93;450;69
Enero de 2022;1;Andalucía;14;Córdoba;14003;Alcaracejos;125;7;13;29;<5;35;37;9;5;23;86;<5
Enero de 2022;1;Andalucía;14;Córdoba;14004;Almedinilla;117;<5;12;25;7;42;28;8;17;9;77;6
Enero de 2022;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;932;58;150;208;36;254;226;205;30;76;570;51
Enero de 2022;1;Andalucía;14;Córdoba;14006;Aíora;140;<5;11;31;11;38;46;12;5;43;70;10
Enero de 2022;1;Andalucía;14;Córdoba;14007;Baena;1224;47;163;236;97;371;310;260;94;91;687;92
Enero de 2022;1;Andalucía;14;Córdoba;14008;Belalcózar;370;20;41;87;8;97;117;32;29;42;249;18
Enero de 2022;1;Andalucía;14;Córdoba;14009;Belmez;384;12;57;78;17;113;107;28;18;98;213;27
Enero de 2022;1;Andalucía;14;Córdoba;14010;Benamejó;215;7;26;47;15;79;41;41;18;21;125;10
Enero de 2022;1;Andalucía;14;Córdoba;14011;Blózquez, Los;78;5;12;7;9;15;30;5;0;8;63;<5
Enero de 2022;1;Andalucía;14;Córdoba;14012;Bujalance;445;23;77;109;28;127;81;201;25;38;155;26
Enero de 2022;1;Andalucía;14;Córdoba;14013;Cabra;1364;40;185;286;68;378;407;165;124;88;866;121
Enero de 2022;1;Andalucía;14;Córdoba;14014;Caíete de las Torres;129;<5;26;25;6;36;33;47;5;15;56;6
Enero de 2022;1;Andalucía;14;Córdoba;14015;Carcabuey;120;5;10;22;5;42;36;17;7;<5;87;7
Enero de 2022;1;Andalucía;14;Córdoba;14016;Cardeía;111;8;12;21;5;28;37;11;<5;15;76;5
Enero de 2022;1;Andalucía;14;Córdoba;14017;Carlota, La;1026;42;162;209;50;292;271;202;87;84;591;62
Enero de 2022;1;Andalucía;14;Córdoba;14018;Carpio, El;385;12;55;85;12;106;115;62;29;33;244;17
Enero de 2022;1;Andalucía;14;Córdoba;14019;Castro del Río;353;17;42;91;21;114;68;84;19;39;183;28
Enero de 2022;1;Andalucía;14;Córdoba;14020;Conquista;27;<5;<5;<5;<5;8;11;<5;0;<5;21;<5
Enero de 2022;1;Andalucía;14;Córdoba;14021;Córdoba;33755;1268;5160;7250;1214;7848;11015;1892;2742;2319;23117;3685
Enero de 2022;1;Andalucía;14;Córdoba;14022;Doía Mencía;205;14;27;45;12;65;42;45;20;17;107;16
Enero de 2022;1;Andalucía;14;Córdoba;14023;Dos Torres;210;<5;16;39;16;60;76;15;22;57;109;7
Enero de 2022;1;Andalucía;14;Córdoba;14024;Encinas Reales;169;11;21;43;8;46;40;22;16;29;89;13
Enero de 2022;1;Andalucía;14;Córdoba;14025;Espejo;99;<5;6;22;8;41;19;15;<5;8;67;8
Enero de 2022;1;Andalucía;14;Córdoba;14026;Espiel;229;9;30;43;10;49;88;33;20;47;113;16
Enero de 2022;1;Andalucía;14;Córdoba;14027;Fernán-Nóáez;697;21;136;161;37;215;127;79;42;80;445;51
Enero de 2022;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;48;<5;5;8;<5;14;18;<5;<5;20;22;<5
Enero de 2022;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;614;21;79;144;20;141;209;67;41;62;422;22
Enero de 2022;1;Andalucía;14;Córdoba;14030;Fuente Palmera;585;29;103;154;39;163;97;170;41;86;261;27
Enero de 2022;1;Andalucía;14;Córdoba;14031;Fuente-Téjar;31;<5;6;<5;<5;7;10;<5;<5;0;27;<5
Enero de 2022;1;Andalucía;14;Córdoba;14032;Granjuela, La;70;<5;5;14;<5;14;32;<5;<5;28;38;0
Enero de 2022;1;Andalucía;14;Córdoba;14033;Guadalcózar;118;6;11;30;9;39;23;15;7;9;84;<5
Enero de 2022;1;Andalucía;14;Córdoba;14034;Guijo, El;31;7;5;7;<5;6;5;0;<5;<5;29;0
Enero de 2022;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;759;26;92;118;32;191;300;44;50;96;491;78
Enero de 2022;1;Andalucía;14;Córdoba;14036;Hornachuelos;311;10;49;82;18;91;61;79;9;72;139;12
Enero de 2022;1;Andalucía;14;Córdoba;14037;Iznójar;124;8;13;30;5;37;31;15;13;<5;86;7
Enero de 2022;1;Andalucía;14;Córdoba;14038;Lucena;3833;148;472;709;204;1131;1169;407;714;206;2167;339
Enero de 2022;1;Andalucía;14;Córdoba;14039;Luque;159;<5;16;40;17;43;39;30;10;6;96;17
Enero de 2022;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;128;6;25;25;10;39;23;27;13;5;75;8
Enero de 2022;1;Andalucía;14;Córdoba;14041;Montemayor;213;8;29;64;5;65;42;36;24;25;114;14
Enero de 2022;1;Andalucía;14;Córdoba;14042;Montilla;1752;53;227;309;75;471;617;202;232;110;1056;152
