fecha;pais_orig;mun_dest;turistas
2019-08-01;Eslovaquia;Torrevieja;45
2019-08-01;Rusia;Torrevieja;4009
2019-08-01;Argelia;Torrevieja;734
2019-08-01;Marruecos;Torrevieja;320
2019-08-01;EE.UU.;Torrevieja;298
2019-08-01;Argentina;Torrevieja;62
2019-08-01;Brasil;Torrevieja;30
2019-08-01;Colombia;Torrevieja;102
2019-08-01;Chile;Torrevieja;34
2019-08-01;China;Torrevieja;190
2019-08-01;Israel;Torrevieja;34
2019-08-01;Kazajstan;Torrevieja;67
2019-09-01;Total;Torrevieja;52157
2019-09-01;Total Europa;Torrevieja;50880
2019-09-01;Total Unión Europea;Torrevieja;28134
2019-09-01;Total África;Torrevieja;505
2019-09-01;Total América;Torrevieja;438
2019-09-01;Total América del Norte;Torrevieja;247
2019-09-01;Total Sudamérica;Torrevieja;185
2019-09-01;Total Asia;Torrevieja;305
2019-09-01;Austria;Torrevieja;173
2019-09-01;Bélgica;Torrevieja;3889
2019-09-01;Bulgaria;Torrevieja;104
2019-09-01;Dinamarca;Torrevieja;1094
2019-09-01;Finlandia;Torrevieja;1556
2019-09-01;Francia;Torrevieja;2507
2019-09-01;Hungria;Torrevieja;157
2019-09-01;Irlanda;Torrevieja;2923
2019-09-01;Islandia;Torrevieja;293
2019-09-01;Italia;Torrevieja;348
2019-09-01;Luxemburgo;Torrevieja;69
2019-09-01;Noruega;Torrevieja;4088
2019-09-01;Países Bajos;Torrevieja;1087
2019-09-01;Polonia;Torrevieja;1193
2019-09-01;Portugal;Torrevieja;129
2019-09-01;Reino Unido;Torrevieja;13819
2019-09-01;Alemania;Torrevieja;3642
2019-09-01;Rumania;Torrevieja;128
2019-09-01;Suecia;Torrevieja;8355
2019-09-01;Suiza;Torrevieja;526
2019-09-01;Ucrania;Torrevieja;626
2019-09-01;Letonia;Torrevieja;111
2019-09-01;Bielorrusia / belarus;Torrevieja;148
2019-09-01;Estonia;Torrevieja;210
2019-09-01;Lituania;Torrevieja;191
2019-09-01;República Checa;Torrevieja;199
2019-09-01;Eslovaquia;Torrevieja;37
2019-09-01;Rusia;Torrevieja;3222
2019-09-01;Argelia;Torrevieja;319
2019-09-01;Marruecos;Torrevieja;154
2019-09-01;EE.UU.;Torrevieja;202
2019-09-01;Argentina;Torrevieja;39
2019-09-01;Colombia;Torrevieja;81
2019-09-01;China;Torrevieja;160
2019-09-01;Israel;Torrevieja;36
2019-09-01;Kazajstan;Torrevieja;66
2019-10-01;Total;Torrevieja;50408
2019-10-01;Total Europa;Torrevieja;49400
2019-10-01;Total Unión Europea;Torrevieja;27223
2019-10-01;Total África;Torrevieja;274
2019-10-01;Total América;Torrevieja;410
2019-10-01;Total América del Norte;Torrevieja;218
2019-10-01;Total Sudamérica;Torrevieja;187
2019-10-01;Total Asia;Torrevieja;316
2019-10-01;Austria;Torrevieja;148
2019-10-01;Bélgica;Torrevieja;3973
2019-10-01;Bulgaria;Torrevieja;85
2019-10-01;Dinamarca;Torrevieja;1163
2019-10-01;Finlandia;Torrevieja;2451
2019-10-01;Francia;Torrevieja;1644
2019-10-01;Hungria;Torrevieja;72
2019-10-01;Irlanda;Torrevieja;1535
2019-10-01;Islandia;Torrevieja;424
2019-10-01;Italia;Torrevieja;216
2019-10-01;Luxemburgo;Torrevieja;49
2019-10-01;Noruega;Torrevieja;6323
2019-10-01;Países Bajos;Torrevieja;1260
2019-10-01;Polonia;Torrevieja;1134
2019-10-01;Portugal;Torrevieja;36
2019-10-01;Reino Unido;Torrevieja;11916
2019-10-01;Alemania;Torrevieja;3858
2019-10-01;Rumania;Torrevieja;83
2019-10-01;Suecia;Torrevieja;8729
2019-10-01;Suiza;Torrevieja;552
2019-10-01;Ucrania;Torrevieja;627
2019-10-01;Letonia;Torrevieja;120
2019-10-01;Moldavia / moldava;Torrevieja;34
2019-10-01;Bielorrusia / belarus;Torrevieja;122
2019-10-01;Estonia;Torrevieja;226
2019-10-01;Lituania;Torrevieja;264
2019-10-01;República Checa;Torrevieja;140
2019-10-01;Rusia;Torrevieja;2163
2019-10-01;Argelia;Torrevieja;166
2019-10-01;Marruecos;Torrevieja;90
2019-10-01;EE.UU.;Torrevieja;193
2019-10-01;Argentina;Torrevieja;42
2019-10-01;Colombia;Torrevieja;78
2019-10-01;China;Torrevieja;187
2019-10-01;Israel;Torrevieja;38
2019-10-01;Kazajstan;Torrevieja;49
2019-11-01;Total;Torrevieja;31650
2019-11-01;Total Europa;Torrevieja;30921
2019-11-01;Total Unión Europea;Torrevieja;19081
2019-11-01;Total África;Torrevieja;311
2019-11-01;Total América;Torrevieja;291
2019-11-01;Total América del Norte;Torrevieja;120
2019-11-01;Total Sudamérica;Torrevieja;171
2019-11-01;Austria;Torrevieja;114
2019-11-01;Bélgica;Torrevieja;3141
2019-11-01;Bulgaria;Torrevieja;77
2019-11-01;Dinamarca;Torrevieja;630
2019-11-01;Finlandia;Torrevieja;2070
2019-11-01;Francia;Torrevieja;1283
2019-11-01;Hungria;Torrevieja;59
2019-11-01;Irlanda;Torrevieja;848
2019-11-01;Islandia;Torrevieja;351
2019-11-01;Italia;Torrevieja;180
2019-11-01;Luxemburgo;Torrevieja;44
2019-11-01;Noruega;Torrevieja;5009
2019-11-01;Países Bajos;Torrevieja;932
2019-11-01;Polonia;Torrevieja;666
2019-11-01;Reino Unido;Torrevieja;4536
2019-11-01;Alemania;Torrevieja;2115
2019-11-01;Rumania;Torrevieja;47
