cod_municipio;cod_provincia;cp;direccion;dormit_totales;estudio;fecha_alta;habdoble;habindi;municipio;nombre;numplazasdoble;numplazasindi;plazas_totales;provincia;ref_catastral;rural;signatura;superficie;web
133;3;3180.0;CL ULPIANO, 70B, Es:3 Pl:01 Pt:A;2;N;28/03/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0029AK;N;CV-VUT0515418-A;107.00;
133;3;3180.0;CL ULPIANO, 70B, Es:3 Pl:02 Pt:A;2;N;07/04/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0031PJ;N;CV-VUT0515745-A;107.00;
133;3;3180.0;CL ULPIANO, 70B, Es:3 Pl:02 Pt:B;2;N;14/03/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0032AK;N;CV-VUT0515007-A;109.00;
133;3;3180.0;CL ULPIANO, 70B, Es:3 Pl:03 Pt:A;2;N;23/05/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0033SL;N;CV-VUT0516906-A;94.00;
133;3;3180.0;CL ULPIANO, 70C, Es:2 Pl:01 Pt:A;3;N;04/04/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4459503YH0045N0018EP;N;CV-VUT0516023-A;130.00;
133;3;3180.0;CL ULPIANO, 70C, Es:2 Pl:01 Pt:B;3;N;07/04/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4459503YH0045N0019RA;N;CV-VUT0515735-A;133.00;
133;3;3180.0;CL ULPIANO, 70C, Es:2 Pl:02 Pt:A;3;N;10/07/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4459503YH0045N0020WO;N;CV-VUT0517636-A;130.00;
133;3;3180.0;CL ULPIANO, 72, Es:1 Pl:02 Pt:B;1;N;25/10/2022;1.0;0.0;TORREVIEJA;Vivienda 493001-A;2;0;2;ALICANTE/ALACANT;4560701YH0046S0009GY;N;CV-VUT0493001-A;43.00;
133;3;3180.0;CL ULPIANO, 72, Es:1 Pl:02 Pt:D;2;N;19/04/2023;2.0;0.0;TORREVIEJA;Vivienda 497177-A;4;0;4;ALICANTE/ALACANT;4560701YH0046S0011FT;N;CV-VUT0497177-A;62.00;
133;3;3180.0;CL ULPIANO, 88, Es:1 Pl:04 Pt:A;3;N;27/03/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4560711YH0046S0009OY;N;CV-VUT0515392-A;137.00;
133;3;3180.0;CL ULPIANO, 88, Es:1 Pl:04 Pt:B;3;N;27/03/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4560711YH0046S0010UR;N;CV-VUT0515390-A;111.00;
133;3;3180.0;CL UNION MUSICAL TORREVEJENS, 8, Es:1 Pl:04 Pt:D;2;N;20/02/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;3762702YH0036S0015IT;N;CV-VUT0514383-A;74.00;
133;3;3180.0;CL URANO, 127, Es:T Pl:OD Pt:OS;2;N;04/12/2024;2.0;0.0;TORREVIEJA;Vivienda 513150-A;4;0;4;ALICANTE/ALACANT;1784701YH0018S0001LB;N;CV-VUT0513150-A;88.00;
133;3;3180.0;CL URBANO ARREGUI, 1, Es:3 Pl:02 Pt:E;1;N;04/09/2023;1.0;0.0;TORREVIEJA;Vivienda 501346-A;2;0;2;ALICANTE/ALACANT;2760601YH0026S0128IF;N;CV-VUT0501346-A;37.00;
133;3;3180.0;CL URBANO ARREGUI, 1, Es:3 Pl:05 Pt:F;1;N;14/12/2022;1.0;0.0;TORREVIEJA;Vivienda 493917-A;2;0;2;ALICANTE/ALACANT;2760601YH0026S0155EO;N;CV-VUT0493917-A;48.00;
133;3;3180.0;CL URBANO ARREGUI, 111, Es:3 Pl:00 Pt:A;2;N;27/12/2022;1.0;1.0;TORREVIEJA;Vivienda 494341-A;2;1;3;ALICANTE/ALACANT;1947301YH0014N0025KI;N;CV-VUT0494341-A;51.00;
133;3;3180.0;CL URBANO ARREGUI, 115, Es:5 Pl:01 Pt:G;1;N;25/04/2019;1.0;0.0;TORREVIEJA;Vivienda 475370-A;2;0;2;ALICANTE/ALACANT;1947301YH0014N0055HY;N;CV-VUT0475370-A;56.00;
133;3;3180.0;CL URBANO ARREGUI, 117, Es:6 Pl:01 Pt:H;2;N;12/02/2019;2.0;0.0;TORREVIEJA;Vivienda 473804-A;4;0;4;ALICANTE/ALACANT;1947301YH0014N0068EH;N;CV-VUT0473804-A;56.00;
133;3;3180.0;CL URBANO ARREGUI, 119, Es:1 Pl:00 Pt:01;2;N;10/11/2023;2.0;0.0;TORREVIEJA;Vivienda 502977-A;4;0;4;ALICANTE/ALACANT;1846301YH0014N0002RF;N;CV-VUT0502977-A;83.00;
133;3;3180.0;CL URBANO ARREGUI, 119, Es:1 Pl:00 Pt:05;2;N;10/11/2023;2.0;0.0;TORREVIEJA;Vivienda 503021-A;4;0;4;ALICANTE/ALACANT;1846301YH0014N0006IK;N;CV-VUT0503021-A;80.00;
133;3;3180.0;CL URBANO ARREGUI, 119, Es:1 Pl:01 Pt:04;2;N;01/02/2018;2.0;0.0;TORREVIEJA;Vivienda 463298-A;4;0;4;ALICANTE/ALACANT;1846301YH0014N0005UJ;N;CV-VUT0463298-A;92.00;
133;3;3180.0;CL URBANO ARREGUI, 119, Es:1 Pl:01 Pt:10;2;N;25/11/2020;2.0;0.0;TORREVIEJA;Vivienda 484313-A;4;0;4;ALICANTE/ALACANT;1846301YH0014N0011PB;N;CV-VUT0484313-A;88.00;
133;3;3180.0;CL URBANO ARREGUI, 119, Es:7 Pl:02 Pt:I;4;N;24/07/2025;2.0;2.0;TORREVIEJA;;4;2;6;ALICANTE/ALACANT;1947301YH0014N0081PM;N;CV-VUT0517859-A;59.00;
