fecha;mun_orig;destino;turistas
2019-09-01;Torrevieja;Suiza;51
2019-09-01;Torrevieja;Rusia;47
2019-09-01;Torrevieja;Marruecos;152
2019-09-01;Torrevieja;Estados Unidos de América;105
2019-09-01;Torrevieja;Turquía;48
2019-10-01;Torrevieja;Total;2695
2019-10-01;Torrevieja;Europa;2309
2019-10-01;Torrevieja;Unión Europea;1838
2019-10-01;Torrevieja;África;150
2019-10-01;Torrevieja;América;180
2019-10-01;Torrevieja;América del Norte;93
2019-10-01;Torrevieja;Bélgica;98
2019-10-01;Torrevieja;Francia;633
2019-10-01;Torrevieja;Grecia;36
2019-10-01;Torrevieja;Hungría;38
2019-10-01;Torrevieja;Italia;264
2019-10-01;Torrevieja;Países Bajos;61
2019-10-01;Torrevieja;Polonia;51
2019-10-01;Torrevieja;Portugal;160
2019-10-01;Torrevieja;Andorra;34
2019-10-01;Torrevieja;Reino Unido;288
2019-10-01;Torrevieja;Alemania;220
2019-10-01;Torrevieja;Rumanía;73
2019-10-01;Torrevieja;Suecia;65
2019-10-01;Torrevieja;Marruecos;119
2019-10-01;Torrevieja;Estados Unidos de América;53
2019-11-01;Torrevieja;Total;2494
2019-11-01;Torrevieja;Europa;2193
2019-11-01;Torrevieja;Unión Europea;1711
2019-11-01;Torrevieja;América;151
2019-11-01;Torrevieja;América del Norte;69
2019-11-01;Torrevieja;Asia;95
2019-11-01;Torrevieja;Austria;38
2019-11-01;Torrevieja;Bélgica;105
2019-11-01;Torrevieja;Francia;669
2019-11-01;Torrevieja;Irlanda;36
2019-11-01;Torrevieja;Italia;181
2019-11-01;Torrevieja;Noruega;44
2019-11-01;Torrevieja;Países Bajos;56
2019-11-01;Torrevieja;Polonia;34
2019-11-01;Torrevieja;Portugal;114
2019-11-01;Torrevieja;Reino Unido;287
2019-11-01;Torrevieja;Alemania;246
2019-11-01;Torrevieja;Suecia;63
2019-11-01;Torrevieja;Suiza;30
2019-11-01;Torrevieja;Marruecos;34
2019-11-01;Torrevieja;Estados Unidos de América;52
2019-11-01;Torrevieja;Turquía;43
2019-12-01;Torrevieja;Total;2865
2019-12-01;Torrevieja;Europa;2607
2019-12-01;Torrevieja;Unión Europea;1939
2019-12-01;Torrevieja;América;173
2019-12-01;Torrevieja;América del Norte;55
2019-12-01;Torrevieja;Centro América y Caribe;33
2019-12-01;Torrevieja;Sudamérica;85
2019-12-01;Torrevieja;Asia;62
2019-12-01;Torrevieja;Austria;66
2019-12-01;Torrevieja;Bélgica;110
2019-12-01;Torrevieja;Dinamarca;51
2019-12-01;Torrevieja;Finlandia;31
2019-12-01;Torrevieja;Francia;756
2019-12-01;Torrevieja;Irlanda;81
2019-12-01;Torrevieja;Italia;145
2019-12-01;Torrevieja;Noruega;34
2019-12-01;Torrevieja;Países Bajos;62
2019-12-01;Torrevieja;Polonia;74
2019-12-01;Torrevieja;Portugal;107
2019-12-01;Torrevieja;Andorra;63
2019-12-01;Torrevieja;Reino Unido;443
2019-12-01;Torrevieja;Alemania;248
2019-12-01;Torrevieja;Suecia;65
2019-12-01;Torrevieja;Suiza;38
2019-12-01;Torrevieja;Rusia;38
2019-12-01;Torrevieja;Estados Unidos de América;49
2020-01-01;Torrevieja;Total;3020
2020-01-01;Torrevieja;Europa;2653
2020-01-01;Torrevieja;Unión Europea;1973
2020-01-01;Torrevieja;América;223
2020-01-01;Torrevieja;América del Norte;107
2020-01-01;Torrevieja;Centro América y Caribe;52
2020-01-01;Torrevieja;Sudamérica;64
2020-01-01;Torrevieja;Asia;77
2020-01-01;Torrevieja;Austria;41
2020-01-01;Torrevieja;Bélgica;124
2020-01-01;Torrevieja;Bulgaria;30
2020-01-01;Torrevieja;Francia;730
2020-01-01;Torrevieja;Hungría;39
2020-01-01;Torrevieja;Italia;220
2020-01-01;Torrevieja;Noruega;56
2020-01-01;Torrevieja;Países Bajos;57
2020-01-01;Torrevieja;Polonia;55
2020-01-01;Torrevieja;Portugal;108
2020-01-01;Torrevieja;Andorra;126
2020-01-01;Torrevieja;Reino Unido;362
2020-01-01;Torrevieja;Alemania;283
2020-01-01;Torrevieja;Rumanía;52
2020-01-01;Torrevieja;Suecia;75
2020-01-01;Torrevieja;Suiza;42
2020-01-01;Torrevieja;Estados Unidos de América;59
2020-01-01;Torrevieja;China;34
2020-02-01;Torrevieja;Total;2201
2020-02-01;Torrevieja;Europa;1982
2020-02-01;Torrevieja;Unión Europea;1510
2020-02-01;Torrevieja;América;137
2020-02-01;Torrevieja;Sudamérica;68
2020-02-01;Torrevieja;Asia;40
2020-02-01;Torrevieja;Bélgica;80
2020-02-01;Torrevieja;Francia;547
2020-02-01;Torrevieja;Italia;225
2020-02-01;Torrevieja;Países Bajos;55
2020-02-01;Torrevieja;Polonia;36
2020-02-01;Torrevieja;Portugal;74
2020-02-01;Torrevieja;Andorra;40
2020-02-01;Torrevieja;Reino Unido;282
2020-02-01;Torrevieja;Alemania;230
2020-02-01;Torrevieja;Rumanía;37
2020-02-01;Torrevieja;Suecia;46
2020-02-01;Torrevieja;Suiza;48
2020-02-01;Torrevieja;Rusia;32
2020-02-01;Torrevieja;Estados Unidos de América;37
2020-03-01;Torrevieja;Total;1390
2020-03-01;Torrevieja;Europa;1163
2020-03-01;Torrevieja;Unión Europea;860
2020-03-01;Torrevieja;África;72
2020-03-01;Torrevieja;América;133
2020-03-01;Torrevieja;América del Norte;72
2020-03-01;Torrevieja;Austria;39
2020-03-01;Torrevieja;Bélgica;39
2020-03-01;Torrevieja;Francia;418
2020-03-01;Torrevieja;Italia;35
2020-03-01;Torrevieja;Países Bajos;70
2020-03-01;Torrevieja;Portugal;38
2020-03-01;Torrevieja;Andorra;69
2020-03-01;Torrevieja;Reino Unido;146
2020-03-01;Torrevieja;Alemania;96
2020-03-01;Torrevieja;Marruecos;51
2020-03-01;Torrevieja;Estados Unidos de América;64
2020-04-01;Torrevieja;Total;267
2020-04-01;Torrevieja;Europa;267
2020-04-01;Torrevieja;Unión Europea;230
2020-04-01;Torrevieja;Francia;142
2020-04-01;Torrevieja;Alemania;31
2020-05-01;Torrevieja;Total;417
2020-05-01;Torrevieja;Europa;413
2020-05-01;Torrevieja;Unión Europea;395
2020-05-01;Torrevieja;Francia;260
2020-05-01;Torrevieja;Alemania;85
2020-06-01;Torrevieja;Total;460
2020-06-01;Torrevieja;Europa;453
2020-06-01;Torrevieja;Unión Europea;428
2020-06-01;Torrevieja;Francia;282
2020-06-01;Torrevieja;Alemania;41
2020-07-01;Torrevieja;Total;1026
2020-07-01;Torrevieja;Europa;1020
2020-07-01;Torrevieja;Unión Europea;878
2020-07-01;Torrevieja;Bélgica;36
2020-07-01;Torrevieja;Francia;443
2020-07-01;Torrevieja;Italia;46
2020-07-01;Torrevieja;Países Bajos;39
2020-07-01;Torrevieja;Polonia;50
2020-07-01;Torrevieja;Portugal;39
2020-07-01;Torrevieja;Andorra;31
2020-07-01;Torrevieja;Reino Unido;55
2020-07-01;Torrevieja;Alemania;140
2020-08-01;Torrevieja;Total;1314
2020-08-01;Torrevieja;Europa;1293
2020-08-01;Torrevieja;Unión Europea;1021
2020-08-01;Torrevieja;Bélgica;39
2020-08-01;Torrevieja;Francia;388
2020-08-01;Torrevieja;Italia;49
2020-08-01;Torrevieja;Países Bajos;55
2020-08-01;Torrevieja;Portugal;87
2020-08-01;Torrevieja;Andorra;94
2020-08-01;Torrevieja;Reino Unido;103
2020-08-01;Torrevieja;Alemania;175
2020-08-01;Torrevieja;Rumanía;35
2020-09-01;Torrevieja;Total;1067
2020-09-01;Torrevieja;Europa;1030
2020-09-01;Torrevieja;Unión Europea;843
2020-09-01;Torrevieja;Bélgica;56
2020-09-01;Torrevieja;Francia;342
2020-09-01;Torrevieja;Italia;49
2020-09-01;Torrevieja;Noruega;38
2020-09-01;Torrevieja;Países Bajos;46
2020-09-01;Torrevieja;Portugal;114
2020-09-01;Torrevieja;Reino Unido;72
2020-09-01;Torrevieja;Alemania;120
2020-10-01;Torrevieja;Total;1136
2020-10-01;Torrevieja;Europa;1111
2020-10-01;Torrevieja;Unión Europea;949
2020-10-01;Torrevieja;Bélgica;57
2020-10-01;Torrevieja;Francia;394
2020-10-01;Torrevieja;Italia;81
2020-10-01;Torrevieja;Países Bajos;50
2020-10-01;Torrevieja;Polonia;30
2020-10-01;Torrevieja;Portugal;97
2020-10-01;Torrevieja;Andorra;44
2020-10-01;Torrevieja;Reino Unido;74
2020-10-01;Torrevieja;Alemania;124
2020-10-01;Torrevieja;Suecia;37
2020-11-01;Torrevieja;Total;826
2020-11-01;Torrevieja;Europa;797
2020-11-01;Torrevieja;Unión Europea;686
2020-11-01;Torrevieja;Francia;396
2020-11-01;Torrevieja;Países Bajos;42
2020-11-01;Torrevieja;Reino Unido;64
2020-11-01;Torrevieja;Alemania;110
2020-12-01;Torrevieja;Total;1035
2020-12-01;Torrevieja;Europa;971
2020-12-01;Torrevieja;Unión Europea;857
2020-12-01;Torrevieja;América;44
2020-12-01;Torrevieja;Francia;497
2020-12-01;Torrevieja;Italia;36
2020-12-01;Torrevieja;Portugal;35
2020-12-01;Torrevieja;Reino Unido;63
2020-12-01;Torrevieja;Alemania;203
2021-01-01;Torrevieja;Total;884
2021-01-01;Torrevieja;Europa;830
2021-01-01;Torrevieja;Unión Europea;650
2021-01-01;Torrevieja;Francia;385
2021-01-01;Torrevieja;Mónaco;76
2021-01-01;Torrevieja;Reino Unido;40
2021-01-01;Torrevieja;Alemania;119
2021-02-01;Torrevieja;Total;661
2021-02-01;Torrevieja;Europa;630
2021-02-01;Torrevieja;Unión Europea;578
2021-02-01;Torrevieja;Francia;403
2021-02-01;Torrevieja;Alemania;72
2021-03-01;Torrevieja;Total;962
2021-03-01;Torrevieja;Europa;895
2021-03-01;Torrevieja;Unión Europea;831
2021-03-01;Torrevieja;África;31
2021-03-01;Torrevieja;Francia;516
2021-03-01;Torrevieja;Italia;61
2021-03-01;Torrevieja;Alemania;120
2021-04-01;Torrevieja;Total;962
2021-04-01;Torrevieja;Europa;911
2021-04-01;Torrevieja;Unión Europea;807
2021-04-01;Torrevieja;América;42
2021-04-01;Torrevieja;Francia;470
2021-04-01;Torrevieja;Portugal;52
2021-04-01;Torrevieja;Reino Unido;30
2021-04-01;Torrevieja;Alemania;187
2021-05-01;Torrevieja;Total;1202
2021-05-01;Torrevieja;Europa;1159
2021-05-01;Torrevieja;Unión Europea;1055
2021-05-01;Torrevieja;América;35
2021-05-01;Torrevieja;Bélgica;44
2021-05-01;Torrevieja;Francia;557
2021-05-01;Torrevieja;Italia;68
2021-05-01;Torrevieja;Países Bajos;40
2021-05-01;Torrevieja;Portugal;51
2021-05-01;Torrevieja;Alemania;199
2021-06-01;Torrevieja;Total;1389
2021-06-01;Torrevieja;Europa;1317
2021-06-01;Torrevieja;Unión Europea;1111
2021-06-01;Torrevieja;África;48
2021-06-01;Torrevieja;Bélgica;55
2021-06-01;Torrevieja;Francia;542
2021-06-01;Torrevieja;Italia;67
2021-06-01;Torrevieja;Países Bajos;47
2021-06-01;Torrevieja;Portugal;54
2021-06-01;Torrevieja;Andorra;63
2021-06-01;Torrevieja;Reino Unido;35
2021-06-01;Torrevieja;Alemania;186
2021-06-01;Torrevieja;Rumanía;35
2021-06-01;Torrevieja;Suecia;32
2021-06-01;Torrevieja;Rusia;37
2021-06-01;Torrevieja;Marruecos;30
2021-07-01;Torrevieja;Total;1773
2021-07-01;Torrevieja;Europa;1626
2021-07-01;Torrevieja;Unión Europea;1435
2021-07-01;Torrevieja;África;112
2021-07-01;Torrevieja;América;35
2021-07-01;Torrevieja;Bélgica;49
2021-07-01;Torrevieja;Francia;651
2021-07-01;Torrevieja;Italia;93
2021-07-01;Torrevieja;Países Bajos;53
2021-07-01;Torrevieja;Polonia;61
2021-07-01;Torrevieja;Portugal;142
2021-07-01;Torrevieja;Reino Unido;38
2021-07-01;Torrevieja;Alemania;191
2021-07-01;Torrevieja;Rumanía;59
2021-07-01;Torrevieja;Suiza;42
2021-07-01;Torrevieja;Marruecos;103
2021-08-01;Torrevieja;Total;2122
2021-08-01;Torrevieja;Europa;1952
2021-08-01;Torrevieja;Unión Europea;1665
2021-08-01;Torrevieja;África;89
2021-08-01;Torrevieja;América;66
2021-08-01;Torrevieja;América del Norte;35
2021-08-01;Torrevieja;Austria;38
2021-08-01;Torrevieja;Bélgica;109
2021-08-01;Torrevieja;Dinamarca;35
2021-08-01;Torrevieja;Francia;642
2021-08-01;Torrevieja;Italia;139
2021-08-01;Torrevieja;Noruega;38
2021-08-01;Torrevieja;Países Bajos;33
2021-08-01;Torrevieja;Polonia;47
2021-08-01;Torrevieja;Portugal;173
2021-08-01;Torrevieja;Reino Unido;101
2021-08-01;Torrevieja;Alemania;182
2021-08-01;Torrevieja;Rumanía;46
2021-08-01;Torrevieja;Suecia;33
2021-08-01;Torrevieja;Suiza;35
2021-08-01;Torrevieja;Marruecos;80
2021-09-01;Torrevieja;Total;2119
2021-09-01;Torrevieja;Europa;2022
2021-09-01;Torrevieja;Unión Europea;1692
2021-09-01;Torrevieja;América;60
2021-09-01;Torrevieja;Bélgica;89
2021-09-01;Torrevieja;Bulgaria;48
2021-09-01;Torrevieja;Francia;671
2021-09-01;Torrevieja;Italia;166
2021-09-01;Torrevieja;Países Bajos;63
2021-09-01;Torrevieja;Polonia;40
2021-09-01;Torrevieja;Portugal;114
2021-09-01;Torrevieja;Andorra;56
2021-09-01;Torrevieja;Reino Unido;119
2021-09-01;Torrevieja;Alemania;192
2021-09-01;Torrevieja;Rumanía;83
2021-09-01;Torrevieja;Suecia;49
2021-09-01;Torrevieja;Suiza;56
2021-10-01;Torrevieja;Total;2480
2021-10-01;Torrevieja;Europa;2349
2021-10-01;Torrevieja;Unión Europea;1976
2021-10-01;Torrevieja;África;53
2021-10-01;Torrevieja;América;66
2021-10-01;Torrevieja;Austria;30
2021-10-01;Torrevieja;Bélgica;100
2021-10-01;Torrevieja;Francia;774
2021-10-01;Torrevieja;Irlanda;42
2021-10-01;Torrevieja;Italia;183
2021-10-01;Torrevieja;Noruega;41
2021-10-01;Torrevieja;Países Bajos;121
2021-10-01;Torrevieja;Polonia;56
2021-10-01;Torrevieja;Portugal;246
2021-10-01;Torrevieja;Reino Unido;194
2021-10-01;Torrevieja;Alemania;219
2021-10-01;Torrevieja;Rumanía;55
2021-10-01;Torrevieja;Suecia;41
2021-10-01;Torrevieja;Marruecos;45
2021-10-01;Torrevieja;Turquía;30
2021-11-01;Torrevieja;Total;1918
2021-11-01;Torrevieja;Europa;1718
2021-11-01;Torrevieja;Unión Europea;1462
2021-11-01;Torrevieja;África;79
2021-11-01;Torrevieja;América;101
2021-11-01;Torrevieja;América del Norte;46
2021-11-01;Torrevieja;Bélgica;74
2021-11-01;Torrevieja;Francia;672
2021-11-01;Torrevieja;Italia;111
2021-11-01;Torrevieja;Países Bajos;44
2021-11-01;Torrevieja;Polonia;51
2021-11-01;Torrevieja;Portugal;156
2021-11-01;Torrevieja;Reino Unido;127
2021-11-01;Torrevieja;Alemania;164
2021-11-01;Torrevieja;Suecia;36
2021-11-01;Torrevieja;Marruecos;71
2021-11-01;Torrevieja;Estados Unidos de América;31
2021-12-01;Torrevieja;Total;2209
2021-12-01;Torrevieja;Europa;2029
2021-12-01;Torrevieja;Unión Europea;1721
2021-12-01;Torrevieja;África;43
2021-12-01;Torrevieja;América;119
2021-12-01;Torrevieja;Sudamérica;57
2021-12-01;Torrevieja;Austria;31
2021-12-01;Torrevieja;Bélgica;81
2021-12-01;Torrevieja;Finlandia;37
2021-12-01;Torrevieja;Francia;827
2021-12-01;Torrevieja;Irlanda;49
2021-12-01;Torrevieja;Italia;107
2021-12-01;Torrevieja;Países Bajos;40
2021-12-01;Torrevieja;Polonia;32
2021-12-01;Torrevieja;Portugal;91
2021-12-01;Torrevieja;Reino Unido;138
2021-12-01;Torrevieja;Alemania;255
2021-12-01;Torrevieja;Suecia;64
2021-12-01;Torrevieja;Suiza;49
2021-12-01;Torrevieja;Rusia;30
2022-01-01;Torrevieja;Total;1944
2022-01-01;Torrevieja;Europa;1798
2022-01-01;Torrevieja;Unión Europea;1480
2022-01-01;Torrevieja;América;108
2022-01-01;Torrevieja;Sudamérica;44
2022-01-01;Torrevieja;Bélgica;63
2022-01-01;Torrevieja;Francia;711
2022-01-01;Torrevieja;Italia;103
2022-01-01;Torrevieja;Noruega;32
2022-01-01;Torrevieja;Países Bajos;71
2022-01-01;Torrevieja;Polonia;52
2022-01-01;Torrevieja;Portugal;97
2022-01-01;Torrevieja;Andorra;81
2022-01-01;Torrevieja;Reino Unido;107
2022-01-01;Torrevieja;Alemania;165
2022-01-01;Torrevieja;Suecia;58
2022-02-01;Torrevieja;Total;1324
2022-02-01;Torrevieja;Europa;1133
2022-02-01;Torrevieja;Unión Europea;935
2022-02-01;Torrevieja;África;79
2022-02-01;Torrevieja;América;96
2022-02-01;Torrevieja;América del Norte;47
2022-02-01;Torrevieja;Bélgica;41
2022-02-01;Torrevieja;Francia;408
2022-02-01;Torrevieja;Italia;80
2022-02-01;Torrevieja;Países Bajos;67
2022-02-01;Torrevieja;Portugal;44
2022-02-01;Torrevieja;Reino Unido;88
2022-02-01;Torrevieja;Alemania;149
2022-02-01;Torrevieja;Marruecos;72
2022-02-01;Torrevieja;Estados Unidos de América;33
2022-03-01;Torrevieja;Total;2086
2022-03-01;Torrevieja;Europa;1891
2022-03-01;Torrevieja;Unión Europea;1490
2022-03-01;Torrevieja;África;92
2022-03-01;Torrevieja;América;93
2022-03-01;Torrevieja;América del Norte;68
2022-03-01;Torrevieja;Bélgica;66
2022-03-01;Torrevieja;Francia;592
2022-03-01;Torrevieja;Italia;197
2022-03-01;Torrevieja;Noruega;34
2022-03-01;Torrevieja;Países Bajos;93
2022-03-01;Torrevieja;Polonia;50
2022-03-01;Torrevieja;Portugal;102
2022-03-01;Torrevieja;Andorra;73
2022-03-01;Torrevieja;Reino Unido;172
2022-03-01;Torrevieja;Alemania;160
2022-03-01;Torrevieja;Rumanía;42
2022-03-01;Torrevieja;Suecia;37
2022-03-01;Torrevieja;Suiza;41
2022-03-01;Torrevieja;Marruecos;84
2022-03-01;Torrevieja;Estados Unidos de América;60
2022-03-01;Torrevieja;Turquía;31
2022-04-01;Torrevieja;Total;2063
2022-04-01;Torrevieja;Europa;1875
2022-04-01;Torrevieja;Unión Europea;1568
2022-04-01;Torrevieja;África;65
2022-04-01;Torrevieja;América;112
2022-04-01;Torrevieja;América del Norte;58
2022-04-01;Torrevieja;Austria;36
2022-04-01;Torrevieja;Bélgica;68
2022-04-01;Torrevieja;Francia;612
2022-04-01;Torrevieja;Italia;201
2022-04-01;Torrevieja;Países Bajos;64
2022-04-01;Torrevieja;Portugal;102
2022-04-01;Torrevieja;Reino Unido;152
2022-04-01;Torrevieja;Alemania;176
2022-04-01;Torrevieja;Rumanía;43
2022-04-01;Torrevieja;Suecia;40
2022-04-01;Torrevieja;República Checa;35
2022-04-01;Torrevieja;Marruecos;62
2022-04-01;Torrevieja;Estados Unidos de América;39
2022-04-01;Torrevieja;Turquía;71
2022-05-01;Torrevieja;Total;2140
2022-05-01;Torrevieja;Europa;1916
2022-05-01;Torrevieja;Unión Europea;1516
2022-05-01;Torrevieja;África;58
2022-05-01;Torrevieja;América;116
2022-05-01;Torrevieja;América del Norte;65
2022-05-01;Torrevieja;Bélgica;71
2022-05-01;Torrevieja;Francia;613
2022-05-01;Torrevieja;Irlanda;35
2022-05-01;Torrevieja;Italia;176
2022-05-01;Torrevieja;Noruega;48
2022-05-01;Torrevieja;Países Bajos;93
2022-05-01;Torrevieja;Polonia;49
2022-05-01;Torrevieja;Portugal;138
2022-05-01;Torrevieja;Andorra;37
2022-05-01;Torrevieja;Reino Unido;176
2022-05-01;Torrevieja;Alemania;145
2022-05-01;Torrevieja;Rumanía;55
2022-05-01;Torrevieja;Suecia;33
2022-05-01;Torrevieja;Suiza;48
2022-05-01;Torrevieja;Marruecos;40
2022-05-01;Torrevieja;Estados Unidos de América;56
2022-05-01;Torrevieja;Turquía;47
2022-06-01;Torrevieja;Total;2406
2022-06-01;Torrevieja;Europa;2199
2022-06-01;Torrevieja;Unión Europea;1856
2022-06-01;Torrevieja;África;89
2022-06-01;Torrevieja;América;100
2022-06-01;Torrevieja;América del Norte;62
2022-06-01;Torrevieja;Bélgica;94
2022-06-01;Torrevieja;Dinamarca;34
2022-06-01;Torrevieja;Francia;786
2022-06-01;Torrevieja;Italia;214
2022-06-01;Torrevieja;Noruega;30
2022-06-01;Torrevieja;Países Bajos;65
2022-06-01;Torrevieja;Polonia;61
2022-06-01;Torrevieja;Portugal;163
2022-06-01;Torrevieja;Reino Unido;168
2022-06-01;Torrevieja;Alemania;191
2022-06-01;Torrevieja;Rumanía;37
2022-06-01;Torrevieja;Suecia;43
2022-06-01;Torrevieja;Suiza;54
2022-06-01;Torrevieja;Marruecos;71
2022-06-01;Torrevieja;Estados Unidos de América;38
2022-06-01;Torrevieja;Turquía;46
2022-07-01;Torrevieja;Total;2546
2022-07-01;Torrevieja;Europa;2347
2022-07-01;Torrevieja;Unión Europea;1990
2022-07-01;Torrevieja;África;82
2022-07-01;Torrevieja;América;85
2022-07-01;Torrevieja;América del Norte;37
2022-07-01;Torrevieja;Austria;31
2022-07-01;Torrevieja;Bélgica;92
2022-07-01;Torrevieja;Finlandia;36
2022-07-01;Torrevieja;Francia;817
2022-07-01;Torrevieja;Grecia;35
2022-07-01;Torrevieja;Italia;204
2022-07-01;Torrevieja;Noruega;34
2022-07-01;Torrevieja;Países Bajos;39
2022-07-01;Torrevieja;Polonia;40
2022-07-01;Torrevieja;Portugal;214
2022-07-01;Torrevieja;Reino Unido;150
2022-07-01;Torrevieja;Alemania;236
2022-07-01;Torrevieja;Rumanía;34
2022-07-01;Torrevieja;Suecia;42
2022-07-01;Torrevieja;Suiza;41
2022-07-01;Torrevieja;Marruecos;62
2022-07-01;Torrevieja;Turquía;49
2022-08-01;Torrevieja;Total;2408
2022-08-01;Torrevieja;Europa;2180
2022-08-01;Torrevieja;Unión Europea;1769
2022-08-01;Torrevieja;África;72
2022-08-01;Torrevieja;América;117
2022-08-01;Torrevieja;América del Norte;80
2022-08-01;Torrevieja;Austria;34
2022-08-01;Torrevieja;Bélgica;56
2022-08-01;Torrevieja;Bulgaria;30
2022-08-01;Torrevieja;Dinamarca;40
2022-08-01;Torrevieja;Finlandia;42
2022-08-01;Torrevieja;Francia;613
2022-08-01;Torrevieja;Grecia;40
2022-08-01;Torrevieja;Hungría;35
2022-08-01;Torrevieja;Italia;177
2022-08-01;Torrevieja;Noruega;67
2022-08-01;Torrevieja;Países Bajos;38
2022-08-01;Torrevieja;Polonia;47
2022-08-01;Torrevieja;Portugal;232
2022-08-01;Torrevieja;Andorra;32
2022-08-01;Torrevieja;Reino Unido;188
2022-08-01;Torrevieja;Alemania;124
2022-08-01;Torrevieja;Rumanía;46
2022-08-01;Torrevieja;Suecia;58
2022-08-01;Torrevieja;Suiza;34
2022-08-01;Torrevieja;República Checa;39
2022-08-01;Torrevieja;Marruecos;61
2022-08-01;Torrevieja;Estados Unidos de América;41
2022-08-01;Torrevieja;Turquía;40
2022-09-01;Torrevieja;Total;2846
2022-09-01;Torrevieja;Europa;2571
2022-09-01;Torrevieja;Unión Europea;2124
2022-09-01;Torrevieja;África;146
2022-09-01;Torrevieja;América;89
2022-09-01;Torrevieja;América del Norte;55
2022-09-01;Torrevieja;Bélgica;91
2022-09-01;Torrevieja;Bulgaria;62
2022-09-01;Torrevieja;Dinamarca;35
2022-09-01;Torrevieja;Finlandia;51
2022-09-01;Torrevieja;Francia;827
2022-09-01;Torrevieja;Irlanda;41
2022-09-01;Torrevieja;Italia;255
2022-09-01;Torrevieja;Noruega;36
2022-09-01;Torrevieja;Países Bajos;77
2022-09-01;Torrevieja;Polonia;64
2022-09-01;Torrevieja;Portugal;186
2022-09-01;Torrevieja;Andorra;34
2022-09-01;Torrevieja;Reino Unido;193
2022-09-01;Torrevieja;Alemania;182
2022-09-01;Torrevieja;Rumanía;64
2022-09-01;Torrevieja;Suecia;60
2022-09-01;Torrevieja;Suiza;63
2022-09-01;Torrevieja;Marruecos;124
2022-09-01;Torrevieja;Estados Unidos de América;41
